     P[hPa]       T[K]    Qv[g/kg]     U[m/s]     V[m/s]
  1000.0000   298.1300     16.6631        0.0        0.0
   994.4731   297.7899     16.5374        0.0        0.0
   983.0624   297.4253     16.2763        0.0        0.0
   971.1880   297.0837     16.0021        0.0        0.0
   958.8681   296.4649     15.7154        0.0        0.0
   946.1217   295.8674     15.4166        0.0        0.0
   932.9704   295.2909     15.1063        0.0        0.0
   919.4343   294.7351     14.7850        0.0        0.0
   905.5298   294.1996     14.4530        0.0        0.0
   891.2749   293.6842     14.1106        0.0        0.0
   876.6891   292.8845     13.7585        0.0        0.0
   861.7928   292.1026     13.3971        0.0        0.0
   846.6065   291.6439     13.0272        0.0        0.0
   831.1511   290.8974     12.4755        0.0        0.0
   815.4482   289.8602     11.8622        0.0        0.0
   799.5191   289.1459     11.2565        0.0        0.0
   783.3855   288.4475     10.6602        0.0        0.0
   767.0680   287.4544     10.0750        0.0        0.0
   750.5872   286.4746      9.5022        0.0        0.0
   733.9612   285.5075      8.9432        0.0        0.0
   717.2086   284.5527      8.3992        0.0        0.0
   700.3495   283.5197      7.8234        0.0        0.0
   683.4013   282.4969      7.2700        0.0        0.0
   666.3807   281.1679      6.7396        0.0        0.0
   649.3078   280.1632      6.2330        0.0        0.0
   632.2012   278.8494      5.7505        0.0        0.0
   615.0797   277.5420      5.2925        0.0        0.0
   597.9632   276.2405      4.8592        0.0        0.0
   580.8759   274.9442      4.4507        0.0        0.0
   563.8412   273.6528      4.0670        0.0        0.0
   546.8776   272.3658      3.7071        0.0        0.0
   530.0031   270.7580      3.3680        0.0        0.0
   513.2353   269.1510      3.0497        0.0        0.0
   496.5909   267.8716      2.7521        0.0        0.0
   480.0840   266.2661      2.4748        0.0        0.0
   463.7286   264.6598      2.2176        0.0        0.0
   447.5402   263.0522      1.9798        0.0        0.0
   431.5319   261.4427      1.7608        0.0        0.0
   415.7166   259.4972      1.5599        0.0        0.0
   400.1087   257.8808      1.3763        0.0        0.0
   384.7189   255.9245      1.2090        0.0        0.0
   369.5574   253.6670      1.0280        0.0        0.0
   354.6370   251.7423      0.8686        0.0        0.0
   339.9659   249.4743      0.7289        0.0        0.0
   325.5498   247.1997      0.6071        0.0        0.0
   311.3984   244.5767      0.5016        0.0        0.0
   297.5218   242.2867      0.4107        0.0        0.0
   283.9262   239.9888      0.3329        0.0        0.0
   270.6184   237.3376      0.2669        0.0        0.0
   257.6076   235.0213      0.2113        0.0        0.0
   244.9016   232.3484      0.1666        0.0        0.0
   232.5052   229.6634      0.1330        0.0        0.0
   220.4240   226.9656      0.1052        0.0        0.0
   208.6642   224.2546      0.0654        0.0        0.0
   197.2316   221.5299      0.0487        0.0        0.0
   186.1319   218.7910      0.0358        0.0        0.0
   175.3701   217.4022      0.0325        0.0        0.0
   164.9517   216.3177      0.0291        0.0        0.0
   154.8812   214.8166      0.0258        0.0        0.0
   145.1650   213.2546      0.0225        0.0        0.0
   135.8110   211.6298      0.0193        0.0        0.0
   126.8229   209.9403      0.0164        0.0        0.0
   118.2148   208.1845      0.0136        0.0        0.0
   110.0016   206.3603      0.0112        0.0        0.0
   102.1814   204.4661      0.0091        0.0        0.0
    94.7858   202.5000      0.0072        0.0        0.0
    87.8524   200.4601      0.0057        0.0        0.0
    81.3723   198.3446      0.0045        0.0        0.0
    75.3210   196.5629      0.0035        0.0        0.0
    69.6763   194.2956      0.0027        0.0        0.0
